name,category,category_group,latitude,longitude,distance,address,region,fsq_category_id,category_type
Papelli,pizzeria,other,48.87167067065797,2.3569603264331818,266,"61 rue du Faubourg Saint-Martin, 75010 Paris",Île-de-France,4bf58dd8d48988d1ca941735,other
Pâtisserie Tholoniat,dessert shop,other,48.87183423385489,2.356692553645535,284,"54-56 rue du Château d'Eau (Rue du faubourg Saint-Martin), 75010 Paris",Île-de-France,4bf58dd8d48988d1d0941735,other
New Dehli,indian restaurant,restaurant,48.871065957955636,2.356008478131487,349,"4 Passage Brady, 75010 Paris",Île-de-France,4bf58dd8d48988d10f941735,restaurant
BMK Paris-Bamako,african restaurant,restaurant,48.87464593409851,2.3565486073493958,416,"14 rue de la Fidélité, 75010 Paris",Île-de-France,4bf58dd8d48988d1c8941735,restaurant
Boulangerie Julhès,bakery,other,48.87228967210551,2.3544735983836156,447,"56 rue du Faubourg Saint-Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d16a941735,bakery
Au Faubourg,bar,bar,48.87418201831521,2.3554495787760983,446,"92 rue Faubourg Saint Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d116941735,bar
Distrito Francés Saint Martin,mexican restaurant,restaurant,48.86952041601553,2.3560472841686533,429,"10 rue du Faubourg Saint-Martin, 75010 Paris",Île-de-France,4bf58dd8d48988d1c1941735,restaurant
Urfa Dürüm,sandwich spot,other,48.87242042483496,2.354128159020268,473,"58 rue du Faubourg Saint Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d1c5941735,other
5 Pailles,breakfast spot,other,48.87312877407999,2.3546111723015435,453,"79 rue du Faubourg Saint-Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d143941735,other
52 Faubourg Saint-Denis,bistro,other,48.872029,2.354094,473,"52 rue du Faubourg Saint-Denis, 75010 Paris",Île-de-France,52e81612bcbc57f1066b79f1,other
Théâtre de la Porte Saint-Martin,theater,other,48.86888901091533,2.3566462164944793,448,"18 boulevard Saint-Martin, 75010 Paris",Île-de-France,4bf58dd8d48988d137941735,other
Le Bec Fin,moroccan restaurant,restaurant,48.86973263824418,2.355933813161143,421,"15 rue du Faubourg Saint-Martin, 75010 Paris",Île-de-France,4bf58dd8d48988d1c3941735,restaurant
Théâtre Antoine,theater,other,48.8706119793953,2.354895798816443,442,"14 boulevard de Strasbourg, 75010 Paris",Île-de-France,4bf58dd8d48988d137941735,other
Grand Café d'Athènes,greek restaurant,restaurant,48.873117032003094,2.3547548800706863,443,"74 rue du Faubourg Saint-Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d10e941735,restaurant
Sheezan,indian restaurant,restaurant,48.873782724574205,2.3552195727825165,439,"84 rue du Faubourg Saint-Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d10f941735,restaurant
Julhès,wine store,other,48.87241464111935,2.354132190958685,473,"54 rue du Faubourg Saint-Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d119951735,other
Taka & Vermo,cheese store,other,48.871556268919456,2.353856585793851,493,"61bis rue du Faubourg Saint-Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d11e951735,other
Dindon Dandy,cocktail bar,bar,48.87459691495572,2.3549268741448253,504,"4 Rue de Paradis, 75010 Paris",Île-de-France,4bf58dd8d48988d11e941735,bar
Paris New York,burger joint,other,48.87190433019807,2.3538686006136857,490,"50 rue du Faubourg Saint-Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d16c941735,other
Le Syndicat,cocktail bar,bar,48.87174741403705,2.35357403755188,512,"51 rue du Faubourg-Saint-Denis, 75010 Paris",Île-de-France,4bf58dd8d48988d11e941735,bar
